55.5676 	EXP 	New trial (rep=1, index=0): OrderedDict([('cueSide', u'left'), ('cueOri', -90), ('targetX', -500), ('corrAns', u'left'), ('valid', 1), ('SOA_frames', 6)])
55.5820 	EXP 	cue: autoDraw = False
55.5820 	EXP 	target: autoDraw = False
55.5820 	EXP 	fixationITI: autoDraw = True
56.8169 	EXP 	fixationITI: autoDraw = False
56.8169 	EXP 	fixationITI: autoDraw = False
56.8169 	EXP 	cue: ori = -90.0
56.8169 	EXP 	target: pos = array([-500.,    0.])
56.8169 	EXP 	cue: autoDraw = True
56.9170 	EXP 	cue: autoDraw = False
56.9170 	EXP 	target: autoDraw = True
57.3684 	DATA 	Keypress: right
57.3837 	EXP 	New trial (rep=1, index=1): OrderedDict([('cueSide', u'left'), ('cueOri', -90), ('targetX', 500), ('corrAns', u'right'), ('valid', 0), ('SOA_frames', 48)])
57.4008 	EXP 	cue: autoDraw = False
57.4008 	EXP 	target: autoDraw = False
57.4008 	EXP 	fixationITI: autoDraw = True
57.5519 	DATA 	Keypress: left
58.6329 	EXP 	fixationITI: autoDraw = False
58.6329 	EXP 	fixationITI: autoDraw = False
58.6329 	EXP 	cue: ori = -90.0
58.6329 	EXP 	target: pos = array([ 500.,    0.])
58.6329 	EXP 	cue: autoDraw = True
59.4330 	EXP 	cue: autoDraw = False
59.4330 	EXP 	target: autoDraw = True
59.6673 	DATA 	Keypress: right
59.6680 	EXP 	New trial (rep=1, index=2): OrderedDict([('cueSide', u'left'), ('cueOri', -90), ('targetX', 500), ('corrAns', u'right'), ('valid', 0), ('SOA_frames', 24)])
59.6832 	EXP 	cue: autoDraw = False
59.6832 	EXP 	target: autoDraw = False
59.6832 	EXP 	fixationITI: autoDraw = True
60.7832 	EXP 	fixationITI: autoDraw = False
60.7832 	EXP 	fixationITI: autoDraw = False
60.7832 	EXP 	cue: ori = -90.0
60.7832 	EXP 	target: pos = array([ 500.,    0.])
60.7832 	EXP 	cue: autoDraw = True
61.1851 	EXP 	cue: autoDraw = False
61.1851 	EXP 	target: autoDraw = True
61.5864 	DATA 	Keypress: right
61.5871 	EXP 	New trial (rep=1, index=3): OrderedDict([('cueSide', u'right'), ('cueOri', 90), ('targetX', 500), ('corrAns', u'right'), ('valid', 1), ('SOA_frames', 24)])
61.6020 	EXP 	cue: autoDraw = False
61.6020 	EXP 	target: autoDraw = False
61.6020 	EXP 	fixationITI: autoDraw = True
62.7679 	EXP 	fixationITI: autoDraw = False
62.7679 	EXP 	fixationITI: autoDraw = False
62.7679 	EXP 	cue: ori = 90.0
62.7679 	EXP 	target: pos = array([ 500.,    0.])
62.7679 	EXP 	cue: autoDraw = True
63.1674 	EXP 	cue: autoDraw = False
63.1674 	EXP 	target: autoDraw = True
63.4194 	DATA 	Keypress: left
63.4202 	EXP 	New trial (rep=1, index=4): OrderedDict([('cueSide', u'right'), ('cueOri', 90), ('targetX', -500), ('corrAns', u'left'), ('valid', 0), ('SOA_frames', 48)])
63.4344 	EXP 	cue: autoDraw = False
63.4344 	EXP 	target: autoDraw = False
63.4344 	EXP 	fixationITI: autoDraw = True
63.8194 	DATA 	Keypress: right
64.6015 	EXP 	fixationITI: autoDraw = False
64.6015 	EXP 	fixationITI: autoDraw = False
64.6015 	EXP 	cue: ori = 90.0
64.6015 	EXP 	target: pos = array([-500.,    0.])
64.6015 	EXP 	cue: autoDraw = True
65.4021 	EXP 	cue: autoDraw = False
65.4021 	EXP 	target: autoDraw = True
65.7699 	DATA 	Keypress: left
65.7711 	EXP 	New trial (rep=1, index=5): OrderedDict([('cueSide', u'left'), ('cueOri', -90), ('targetX', -500), ('corrAns', u'left'), ('valid', 1), ('SOA_frames', 24)])
65.7855 	EXP 	cue: autoDraw = False
65.7855 	EXP 	target: autoDraw = False
65.7855 	EXP 	fixationITI: autoDraw = True
66.8366 	EXP 	fixationITI: autoDraw = False
66.8366 	EXP 	fixationITI: autoDraw = False
66.8366 	EXP 	cue: ori = -90.0
66.8366 	EXP 	target: pos = array([-500.,    0.])
66.8366 	EXP 	cue: autoDraw = True
