9.5275 	EXP 	window1: blendMode = 'avg'
9.5444 	EXP 	window1: blendMode = 'avg'
9.5607 	EXP 	window1: blendMode = 'avg'
9.5775 	EXP 	window1: blendMode = 'avg'
9.5938 	EXP 	window1: blendMode = 'avg'
9.6107 	EXP 	window1: blendMode = 'avg'
9.6275 	EXP 	window1: blendMode = 'avg'
9.6439 	EXP 	window1: blendMode = 'avg'
9.6612 	DATA 	Keypress: right
9.6752 	EXP 	Imported IPIP-NEO-PI-R-120-Johnson2014.xlsx as conditions, 120 conditions, 6 params
9.6757 	EXP 	Created sequence: random, trialTypes=120, nReps=1, seed=None
9.6760 	EXP 	New trial (rep=0, index=0): {'Scoring': u'+', 'Facet': u'Immoderation', 'Code': u'N5', 'Item': u'Go on binges.', 'Factor': u'Neuroticism', 'Number': 17}
9.6819 	EXP 	RatingScale rating: reset()
9.6825 	EXP 	window1: blendMode = 'avg'
9.6831 	EXP 	window1: blendMode = 'avg'
9.6838 	EXP 	window1: blendMode = 'avg'
9.6899 	EXP 	window1: blendMode = 'avg'
9.7101 	EXP 	instrText: autoDraw = False
9.7101 	EXP 	item: text = u'Go on binges.'
9.7101 	EXP 	item: autoDraw = True
9.7101 	EXP 	rating: autoDraw = True
9.7101 	EXP 	msgContinue: autoDraw = True
9.7105 	EXP 	window1: blendMode = 'avg'
9.7110 	EXP 	window1: blendMode = 'avg'
9.7114 	EXP 	window1: blendMode = 'avg'
9.7121 	EXP 	window1: blendMode = 'avg'
9.7274 	EXP 	window1: blendMode = 'avg'
9.7278 	EXP 	window1: blendMode = 'avg'
9.7282 	EXP 	window1: blendMode = 'avg'
9.7291 	EXP 	window1: blendMode = 'avg'
9.7443 	EXP 	window1: blendMode = 'avg'
9.7447 	EXP 	window1: blendMode = 'avg'
9.7451 	EXP 	window1: blendMode = 'avg'
9.7459 	EXP 	window1: blendMode = 'avg'
9.7606 	EXP 	window1: blendMode = 'avg'
9.7609 	EXP 	window1: blendMode = 'avg'
9.7613 	EXP 	window1: blendMode = 'avg'
9.7621 	EXP 	window1: blendMode = 'avg'
9.7775 	EXP 	window1: blendMode = 'avg'
9.7778 	EXP 	window1: blendMode = 'avg'
9.7781 	EXP 	window1: blendMode = 'avg'
9.7789 	EXP 	window1: blendMode = 'avg'
9.7948 	EXP 	window1: blendMode = 'avg'
9.7953 	EXP 	window1: blendMode = 'avg'
9.7958 	EXP 	window1: blendMode = 'avg'
9.7971 	EXP 	window1: blendMode = 'avg'
9.8118 	EXP 	window1: blendMode = 'avg'
9.8122 	EXP 	window1: blendMode = 'avg'
9.8125 	EXP 	window1: blendMode = 'avg'
9.8133 	EXP 	window1: blendMode = 'avg'
9.8275 	EXP 	window1: blendMode = 'avg'
9.8279 	EXP 	window1: blendMode = 'avg'
9.8283 	EXP 	window1: blendMode = 'avg'
9.8291 	EXP 	window1: blendMode = 'avg'
9.8444 	EXP 	window1: blendMode = 'avg'
9.8448 	EXP 	window1: blendMode = 'avg'
9.8453 	EXP 	window1: blendMode = 'avg'
9.8461 	EXP 	window1: blendMode = 'avg'
9.8606 	EXP 	window1: blendMode = 'avg'
9.8610 	EXP 	window1: blendMode = 'avg'
9.8614 	EXP 	window1: blendMode = 'avg'
9.8623 	EXP 	window1: blendMode = 'avg'
9.8775 	EXP 	window1: blendMode = 'avg'
