17.1706 	EXP 	window1: blendMode = 'avg'
17.1874 	EXP 	window1: blendMode = 'avg'
17.2039 	EXP 	window1: blendMode = 'avg'
17.2198 	EXP 	window1: blendMode = 'avg'
17.2366 	EXP 	window1: blendMode = 'avg'
17.2537 	EXP 	window1: blendMode = 'avg'
17.2705 	EXP 	window1: blendMode = 'avg'
17.2866 	EXP 	window1: blendMode = 'avg'
17.3036 	EXP 	window1: blendMode = 'avg'
17.3205 	EXP 	window1: blendMode = 'avg'
17.3374 	EXP 	window1: blendMode = 'avg'
17.3538 	EXP 	window1: blendMode = 'avg'
17.3706 	EXP 	window1: blendMode = 'avg'
17.3874 	EXP 	window1: blendMode = 'avg'
17.4034 	EXP 	window1: blendMode = 'avg'
17.4207 	EXP 	window1: blendMode = 'avg'
17.4368 	EXP 	window1: blendMode = 'avg'
17.4535 	EXP 	window1: blendMode = 'avg'
17.4699 	EXP 	window1: blendMode = 'avg'
17.4867 	EXP 	window1: blendMode = 'avg'
17.5029 	EXP 	window1: blendMode = 'avg'
17.5206 	EXP 	window1: blendMode = 'avg'
17.5375 	EXP 	window1: blendMode = 'avg'
17.5536 	EXP 	window1: blendMode = 'avg'
17.5705 	EXP 	window1: blendMode = 'avg'
17.5877 	EXP 	window1: blendMode = 'avg'
17.6038 	EXP 	window1: blendMode = 'avg'
17.6206 	EXP 	window1: blendMode = 'avg'
17.6386 	EXP 	window1: blendMode = 'avg'
17.6539 	EXP 	window1: blendMode = 'avg'
17.6707 	EXP 	window1: blendMode = 'avg'
17.6875 	EXP 	window1: blendMode = 'avg'
17.7048 	EXP 	window1: blendMode = 'avg'
17.7207 	EXP 	window1: blendMode = 'avg'
17.7377 	EXP 	window1: blendMode = 'avg'
17.7539 	EXP 	window1: blendMode = 'avg'
17.7718 	EXP 	window1: blendMode = 'avg'
17.7878 	EXP 	window1: blendMode = 'avg'
17.8046 	EXP 	window1: blendMode = 'avg'
17.8209 	EXP 	window1: blendMode = 'avg'
17.8377 	EXP 	window1: blendMode = 'avg'
17.8539 	EXP 	window1: blendMode = 'avg'
17.8709 	EXP 	window1: blendMode = 'avg'
17.8877 	EXP 	window1: blendMode = 'avg'
17.9046 	EXP 	window1: blendMode = 'avg'
17.9208 	EXP 	window1: blendMode = 'avg'
17.9376 	EXP 	window1: blendMode = 'avg'
17.9539 	EXP 	window1: blendMode = 'avg'
17.9708 	EXP 	window1: blendMode = 'avg'
17.9879 	EXP 	window1: blendMode = 'avg'
18.0048 	EXP 	window1: blendMode = 'avg'
18.0208 	EXP 	window1: blendMode = 'avg'
18.0376 	EXP 	window1: blendMode = 'avg'
18.0545 	EXP 	window1: blendMode = 'avg'
18.0709 	EXP 	window1: blendMode = 'avg'
18.0885 	EXP 	window1: blendMode = 'avg'
18.1045 	EXP 	window1: blendMode = 'avg'
18.1207 	EXP 	window1: blendMode = 'avg'
18.1377 	EXP 	window1: blendMode = 'avg'
18.1546 	EXP 	window1: blendMode = 'avg'
18.1708 	EXP 	window1: blendMode = 'avg'
18.1885 	EXP 	window1: blendMode = 'avg'
18.2045 	EXP 	window1: blendMode = 'avg'
18.2208 	EXP 	window1: blendMode = 'avg'
18.2376 	EXP 	window1: blendMode = 'avg'
18.2546 	EXP 	window1: blendMode = 'avg'
18.2709 	EXP 	window1: blendMode = 'avg'
18.2879 	EXP 	window1: blendMode = 'avg'
18.3048 	EXP 	window1: blendMode = 'avg'
18.3207 	EXP 	window1: blendMode = 'avg'
18.3377 	EXP 	window1: blendMode = 'avg'
18.3546 	EXP 	window1: blendMode = 'avg'
18.3709 	EXP 	window1: blendMode = 'avg'
18.3884 	EXP 	window1: blendMode = 'avg'
18.4045 	EXP 	window1: blendMode = 'avg'
18.4209 	EXP 	window1: blendMode = 'avg'
18.4377 	EXP 	window1: blendMode = 'avg'
18.4546 	EXP 	window1: blendMode = 'avg'
18.4709 	EXP 	window1: blendMode = 'avg'
18.4877 	EXP 	window1: blendMode = 'avg'
18.5046 	EXP 	window1: blendMode = 'avg'
18.5208 	EXP 	window1: blendMode = 'avg'
18.5377 	EXP 	window1: blendMode = 'avg'
18.5546 	EXP 	window1: blendMode = 'avg'
18.5709 	EXP 	window1: blendMode = 'avg'
18.5885 	EXP 	window1: blendMode = 'avg'
18.6049 	EXP 	window1: blendMode = 'avg'
18.6209 	EXP 	window1: blendMode = 'avg'
18.6385 	EXP 	window1: blendMode = 'avg'
18.6546 	EXP 	window1: blendMode = 'avg'
18.6714 	EXP 	window1: blendMode = 'avg'
18.6886 	EXP 	window1: blendMode = 'avg'
18.7046 	EXP 	window1: blendMode = 'avg'
18.7209 	EXP 	window1: blendMode = 'avg'
18.7377 	EXP 	window1: blendMode = 'avg'
18.7547 	EXP 	window1: blendMode = 'avg'
18.7710 	EXP 	window1: blendMode = 'avg'
18.7880 	EXP 	window1: blendMode = 'avg'
18.8046 	EXP 	window1: blendMode = 'avg'
18.8209 	EXP 	window1: blendMode = 'avg'
18.8377 	EXP 	window1: blendMode = 'avg'
18.8546 	EXP 	window1: blendMode = 'avg'
18.8709 	EXP 	window1: blendMode = 'avg'
18.8885 	EXP 	window1: blendMode = 'avg'
18.9048 	EXP 	window1: blendMode = 'avg'
18.9214 	EXP 	window1: blendMode = 'avg'
18.9378 	EXP 	window1: blendMode = 'avg'
18.9547 	EXP 	window1: blendMode = 'avg'
18.9709 	EXP 	window1: blendMode = 'avg'
18.9880 	EXP 	window1: blendMode = 'avg'
19.0047 	EXP 	window1: blendMode = 'avg'
19.0215 	EXP 	window1: blendMode = 'avg'
19.0378 	EXP 	window1: blendMode = 'avg'
19.0547 	EXP 	window1: blendMode = 'avg'
19.0708 	EXP 	window1: blendMode = 'avg'
19.0878 	EXP 	window1: blendMode = 'avg'
19.1046 	EXP 	window1: blendMode = 'avg'
19.1215 	EXP 	window1: blendMode = 'avg'
19.1378 	EXP 	window1: blendMode = 'avg'
19.1546 	EXP 	window1: blendMode = 'avg'
19.1709 	EXP 	window1: blendMode = 'avg'
19.1878 	EXP 	window1: blendMode = 'avg'
19.2048 	EXP 	window1: blendMode = 'avg'
19.2215 	EXP 	window1: blendMode = 'avg'
19.2378 	EXP 	window1: blendMode = 'avg'
19.2548 	EXP 	window1: blendMode = 'avg'
19.2709 	EXP 	window1: blendMode = 'avg'
19.2879 	EXP 	window1: blendMode = 'avg'
19.3048 	EXP 	window1: blendMode = 'avg'
19.3215 	EXP 	window1: blendMode = 'avg'
19.3378 	EXP 	window1: blendMode = 'avg'
19.3547 	EXP 	window1: blendMode = 'avg'
19.3713 	EXP 	window1: blendMode = 'avg'
19.3879 	EXP 	window1: blendMode = 'avg'
19.4047 	EXP 	window1: blendMode = 'avg'
19.4214 	EXP 	window1: blendMode = 'avg'
19.4379 	EXP 	window1: blendMode = 'avg'
19.4547 	EXP 	window1: blendMode = 'avg'
19.4715 	EXP 	window1: blendMode = 'avg'
19.4886 	EXP 	window1: blendMode = 'avg'
19.5045 	EXP 	window1: blendMode = 'avg'
19.5209 	EXP 	window1: blendMode = 'avg'
19.5378 	EXP 	window1: blendMode = 'avg'
19.5547 	EXP 	window1: blendMode = 'avg'
19.5709 	EXP 	window1: blendMode = 'avg'
19.5879 	EXP 	window1: blendMode = 'avg'
19.6052 	DATA 	Keypress: escape
19.6288 	EXP 	Imported IPIP-NEO-PI-R-120-Johnson2014.xlsx as conditions, 120 conditions, 6 params
19.6304 	EXP 	Created sequence: random, trialTypes=120, nReps=1, seed=None
19.6306 	EXP 	New trial (rep=0, index=0): {'Scoring': u'-', 'Facet': u'Modesty', 'Code': u'A5', 'Item': u'Boast about my virtues.', 'Factor': u'Agreeableness', 'Number': 92}
19.6370 	EXP 	RatingScale rating: reset()
