9.5616 	EXP 	window1: blendMode = 'avg'
9.5792 	EXP 	window1: blendMode = 'avg'
9.5954 	EXP 	window1: blendMode = 'avg'
9.6117 	EXP 	window1: blendMode = 'avg'
9.6285 	EXP 	window1: blendMode = 'avg'
9.6454 	EXP 	window1: blendMode = 'avg'
9.6626 	EXP 	window1: blendMode = 'avg'
9.6785 	EXP 	window1: blendMode = 'avg'
9.6956 	EXP 	window1: blendMode = 'avg'
9.7116 	EXP 	window1: blendMode = 'avg'
9.7291 	EXP 	window1: blendMode = 'avg'
9.7456 	EXP 	window1: blendMode = 'avg'
9.7625 	EXP 	window1: blendMode = 'avg'
9.7789 	EXP 	window1: blendMode = 'avg'
9.7947 	EXP 	window1: blendMode = 'avg'
9.8115 	EXP 	window1: blendMode = 'avg'
9.8285 	EXP 	window1: blendMode = 'avg'
9.8455 	EXP 	window1: blendMode = 'avg'
9.8616 	EXP 	window1: blendMode = 'avg'
9.8785 	EXP 	window1: blendMode = 'avg'
9.8947 	EXP 	window1: blendMode = 'avg'
9.9128 	EXP 	window1: blendMode = 'avg'
9.9286 	EXP 	window1: blendMode = 'avg'
9.9454 	EXP 	window1: blendMode = 'avg'
9.9617 	EXP 	window1: blendMode = 'avg'
9.9787 	EXP 	window1: blendMode = 'avg'
9.9954 	EXP 	window1: blendMode = 'avg'
10.0116 	EXP 	window1: blendMode = 'avg'
10.0287 	EXP 	window1: blendMode = 'avg'
10.0454 	EXP 	window1: blendMode = 'avg'
10.0624 	EXP 	window1: blendMode = 'avg'
10.0786 	EXP 	window1: blendMode = 'avg'
10.0955 	EXP 	window1: blendMode = 'avg'
10.1116 	EXP 	window1: blendMode = 'avg'
10.1286 	EXP 	window1: blendMode = 'avg'
10.1454 	EXP 	window1: blendMode = 'avg'
10.1617 	EXP 	window1: blendMode = 'avg'
10.1786 	EXP 	window1: blendMode = 'avg'
10.1954 	EXP 	window1: blendMode = 'avg'
10.2117 	EXP 	window1: blendMode = 'avg'
10.2284 	EXP 	window1: blendMode = 'avg'
10.2455 	EXP 	window1: blendMode = 'avg'
10.2623 	EXP 	window1: blendMode = 'avg'
10.2786 	EXP 	window1: blendMode = 'avg'
10.2953 	EXP 	window1: blendMode = 'avg'
10.3118 	EXP 	window1: blendMode = 'avg'
10.3286 	EXP 	window1: blendMode = 'avg'
10.3455 	EXP 	window1: blendMode = 'avg'
10.3617 	EXP 	window1: blendMode = 'avg'
10.3801 	EXP 	window1: blendMode = 'avg'
10.3964 	EXP 	window1: blendMode = 'avg'
10.4127 	EXP 	window1: blendMode = 'avg'
10.4286 	EXP 	window1: blendMode = 'avg'
10.4455 	EXP 	window1: blendMode = 'avg'
10.4618 	EXP 	window1: blendMode = 'avg'
10.4786 	EXP 	window1: blendMode = 'avg'
10.4954 	EXP 	window1: blendMode = 'avg'
10.5127 	EXP 	window1: blendMode = 'avg'
10.5286 	EXP 	window1: blendMode = 'avg'
10.5456 	EXP 	window1: blendMode = 'avg'
10.5623 	EXP 	window1: blendMode = 'avg'
10.5786 	EXP 	window1: blendMode = 'avg'
10.5954 	EXP 	window1: blendMode = 'avg'
10.6118 	EXP 	window1: blendMode = 'avg'
10.6285 	EXP 	window1: blendMode = 'avg'
10.6455 	EXP 	window1: blendMode = 'avg'
10.6623 	EXP 	window1: blendMode = 'avg'
10.6787 	EXP 	window1: blendMode = 'avg'
10.6955 	EXP 	window1: blendMode = 'avg'
10.7124 	EXP 	window1: blendMode = 'avg'
10.7286 	EXP 	window1: blendMode = 'avg'
10.7455 	EXP 	window1: blendMode = 'avg'
10.7624 	EXP 	window1: blendMode = 'avg'
10.7786 	EXP 	window1: blendMode = 'avg'
10.7956 	EXP 	window1: blendMode = 'avg'
10.8119 	EXP 	window1: blendMode = 'avg'
10.8287 	EXP 	window1: blendMode = 'avg'
10.8456 	EXP 	window1: blendMode = 'avg'
10.8624 	EXP 	window1: blendMode = 'avg'
10.8785 	EXP 	window1: blendMode = 'avg'
10.8956 	EXP 	window1: blendMode = 'avg'
10.9118 	EXP 	window1: blendMode = 'avg'
10.9286 	EXP 	window1: blendMode = 'avg'
10.9455 	EXP 	window1: blendMode = 'avg'
10.9619 	EXP 	window1: blendMode = 'avg'
10.9787 	EXP 	window1: blendMode = 'avg'
10.9956 	EXP 	window1: blendMode = 'avg'
11.0124 	EXP 	window1: blendMode = 'avg'
11.0287 	EXP 	window1: blendMode = 'avg'
11.0456 	EXP 	window1: blendMode = 'avg'
11.0626 	EXP 	window1: blendMode = 'avg'
11.0789 	EXP 	window1: blendMode = 'avg'
11.0957 	EXP 	window1: blendMode = 'avg'
11.1125 	EXP 	window1: blendMode = 'avg'
11.1285 	EXP 	window1: blendMode = 'avg'
11.1456 	EXP 	window1: blendMode = 'avg'
11.1624 	EXP 	window1: blendMode = 'avg'
11.1788 	EXP 	window1: blendMode = 'avg'
11.1956 	EXP 	window1: blendMode = 'avg'
11.2118 	EXP 	window1: blendMode = 'avg'
11.2286 	EXP 	window1: blendMode = 'avg'
11.2455 	EXP 	window1: blendMode = 'avg'
11.2624 	EXP 	window1: blendMode = 'avg'
11.2787 	EXP 	window1: blendMode = 'avg'
11.2958 	EXP 	window1: blendMode = 'avg'
11.3118 	EXP 	window1: blendMode = 'avg'
11.3287 	EXP 	window1: blendMode = 'avg'
11.3456 	EXP 	window1: blendMode = 'avg'
11.3626 	EXP 	window1: blendMode = 'avg'
11.3786 	EXP 	window1: blendMode = 'avg'
11.3956 	EXP 	window1: blendMode = 'avg'
11.4125 	EXP 	window1: blendMode = 'avg'
11.4293 	EXP 	window1: blendMode = 'avg'
11.4456 	EXP 	window1: blendMode = 'avg'
11.4625 	EXP 	window1: blendMode = 'avg'
11.4789 	EXP 	window1: blendMode = 'avg'
11.4956 	EXP 	window1: blendMode = 'avg'
11.5125 	EXP 	window1: blendMode = 'avg'
11.5289 	EXP 	window1: blendMode = 'avg'
11.5457 	EXP 	window1: blendMode = 'avg'
11.5625 	EXP 	window1: blendMode = 'avg'
11.5795 	EXP 	window1: blendMode = 'avg'
11.5959 	EXP 	window1: blendMode = 'avg'
11.6126 	EXP 	window1: blendMode = 'avg'
11.6286 	EXP 	window1: blendMode = 'avg'
11.6456 	EXP 	window1: blendMode = 'avg'
11.6625 	EXP 	window1: blendMode = 'avg'
11.6788 	EXP 	window1: blendMode = 'avg'
11.6957 	EXP 	window1: blendMode = 'avg'
11.7125 	EXP 	window1: blendMode = 'avg'
11.7288 	EXP 	window1: blendMode = 'avg'
11.7457 	EXP 	window1: blendMode = 'avg'
11.7626 	EXP 	window1: blendMode = 'avg'
11.7786 	EXP 	window1: blendMode = 'avg'
11.7956 	EXP 	window1: blendMode = 'avg'
11.8125 	EXP 	window1: blendMode = 'avg'
11.8288 	EXP 	window1: blendMode = 'avg'
11.8457 	EXP 	window1: blendMode = 'avg'
11.8626 	EXP 	window1: blendMode = 'avg'
11.8786 	EXP 	window1: blendMode = 'avg'
11.8957 	EXP 	window1: blendMode = 'avg'
11.9126 	EXP 	window1: blendMode = 'avg'
11.9293 	EXP 	window1: blendMode = 'avg'
11.9455 	EXP 	window1: blendMode = 'avg'
11.9625 	EXP 	window1: blendMode = 'avg'
11.9789 	EXP 	window1: blendMode = 'avg'
11.9957 	EXP 	window1: blendMode = 'avg'
12.0126 	EXP 	window1: blendMode = 'avg'
12.0285 	EXP 	window1: blendMode = 'avg'
12.0456 	EXP 	window1: blendMode = 'avg'
12.0626 	EXP 	window1: blendMode = 'avg'
12.0790 	EXP 	window1: blendMode = 'avg'
12.0959 	EXP 	window1: blendMode = 'avg'
12.1126 	EXP 	window1: blendMode = 'avg'
12.1286 	EXP 	window1: blendMode = 'avg'
12.1456 	EXP 	window1: blendMode = 'avg'
12.1626 	EXP 	window1: blendMode = 'avg'
12.1794 	EXP 	window1: blendMode = 'avg'
12.1956 	EXP 	window1: blendMode = 'avg'
12.2126 	EXP 	window1: blendMode = 'avg'
12.2295 	EXP 	window1: blendMode = 'avg'
12.2456 	EXP 	window1: blendMode = 'avg'
12.2626 	EXP 	window1: blendMode = 'avg'
12.2789 	EXP 	window1: blendMode = 'avg'
12.2957 	EXP 	window1: blendMode = 'avg'
12.3127 	EXP 	window1: blendMode = 'avg'
12.3287 	EXP 	window1: blendMode = 'avg'
12.3458 	EXP 	window1: blendMode = 'avg'
12.3627 	EXP 	window1: blendMode = 'avg'
12.3787 	EXP 	window1: blendMode = 'avg'
12.3957 	EXP 	window1: blendMode = 'avg'
12.4126 	EXP 	window1: blendMode = 'avg'
12.4295 	EXP 	window1: blendMode = 'avg'
12.4457 	EXP 	window1: blendMode = 'avg'
12.4627 	EXP 	window1: blendMode = 'avg'
12.4786 	EXP 	window1: blendMode = 'avg'
12.4956 	EXP 	window1: blendMode = 'avg'
12.5126 	EXP 	window1: blendMode = 'avg'
12.5295 	EXP 	window1: blendMode = 'avg'
12.5456 	EXP 	window1: blendMode = 'avg'
12.5626 	EXP 	window1: blendMode = 'avg'
